id	phenotype
HpGP-HON-006-E5E17-04270	0
HpGP-HON-007-E5E18-04445	0
HpGP-HON-010-E5E37-04235	0
HpGP-HON-021-E5E27-04415	1
HpGP-HON-023-E5E34-04265	1
HpGP-HON-024-E5E28-04330	1
HpGP-HON-025-E5E38-02450	1
HpGP-HON-026-E5E29-04350	1
HpGP-HON-028-FOG22-02705	1
HpGP-IDN-001-KVC34-03675	0
HpGP-IDN-005-KVD21-04560	0
HpGP-IDN-007-KVE51-04330	0
HpGP-IDN-010-Duplicated-1-KVC04-04365	0
HpGP-IDN-011-KVC37-04220	1
HpGP-IND-001-KVE72-04290	0
HpGP-IND-002-KVC90-05145	0
HpGP-IND-003-KVE63-01555	0
HpGP-IND-005-KVD41-04275	0
HpGP-IND-006-KVD47-03840	0
HpGP-IND-007-KVE17-04465	0
HpGP-IND-009-KVC33-03140	0
HpGP-IND-010-KVE65-04115	0
HpGP-IRN-001-KVC83-01580	0
HpGP-IRN-009-Duplicated-1-KVC35-04320	0
HpGP-ISL-004-KVE90-02435	0
HpGP-ISL-005-KVD43-02505	0
HpGP-ISL-006-KVE92-06415	0
HpGP-ISR-006-KVE82-04240	0
HpGP-ISR-008-KVC08-01755	0
HpGP-ITA-005-FNE29-05760	0
HpGP-ITA-008-FNE32-04260	0
HpGP-ITA-022-Duplicated-1-FNE45-01580	1
HpGP-ITA-024-FNE47-05925	1
HpGP-ITA-026-FNE49-05680	1
HpGP-ITA-027-FNE50-06020	1
HpGP-ITA-028-FNE51-02330	1
HpGP-ITA-030-FOG19-01555	1
HpGP-JAP-002-E5E41-04365	0
HpGP-JAP-017-E5E46-04490	1
HpGP-JAP-019-E5E49-04450	1
HpGP-JAP-021-E5E47-04365	1
HpGP-JAP-022-E5E52-05940	1
HpGP-JAP-026-E5E53-04380	1
HpGP-JAP-028-E5E48-04550	1
HpGP-JAP-029-E5E50-04425	1
HpGP-JAP-101-KVC73-04400	0
HpGP-JAP-102-KVB97-04440	0
HpGP-JAP-105-Duplicated-1-KVE20-00060	0
HpGP-JAP-108-KVE89-04285	0
HpGP-JAP-109-KVE60-04370	0
HpGP-JAP-110-KVC99-01630	0
HpGP-JAP-111-KVC09-04395	1
HpGP-JAP-112-KVE97-02315	1
HpGP-JAP-114-KVD96-04415	1
HpGP-JAP-115-KVD35-04305	1
HpGP-JOR-003-Duplicated-1-KVE30-04595	0
HpGP-JOR-005-KVC44-03375	0
HpGP-JOR-006-KVC00-01550	0
HpGP-JOR-007-KVE52-04360	0
HpGP-JOR-008-KVD86-01505	0
HpGP-JOR-010-KVC56-01330	0
HpGP-KAZ-002-KVD97-04440	0
HpGP-KGZ-001-KVC88-04765	0
HpGP-KGZ-002-KVD49-04980	0
HpGP-KGZ-004-KVE28-04545	0
HpGP-KGZ-005-KVE68-04355	0
HpGP-KGZ-006-KVD94-04120	0
HpGP-KGZ-008-KVC70-00745	0
HpGP-KGZ-009-KVE46-04300	0
HpGP-KGZ-010-KVC80-04390	0
HpGP-KOR-001-E5E55-04630	1
HpGP-KOR-002-E5E56-04450	1
HpGP-KOR-004-E5E77-04385	1
HpGP-KOR-005-E5E80-02385	1
HpGP-KOR-006-E5E72-04280	1
HpGP-KOR-007-E5E79-04375	1
HpGP-KOR-008-E5E76-04350	1
HpGP-KOR-009-E5E83-04330	1
HpGP-KOR-010-E5E84-04320	1
HpGP-KOR-012-E5E57-04410	1
HpGP-KOR-014-KVC29-02345	1
HpGP-KOR-016-KVE81-04890	1
HpGP-KOR-019-KVE53-04365	1
HpGP-KOR-020-KVC98-04510	1
HpGP-KOR-021-KVC25-04300	1
HpGP-KOR-022-KVD23-02380	1
HpGP-KOR-023-KVE33-04380	1
HpGP-KOR-024-KVD70-04510	1
HpGP-KOR-025-KVD52-04535	1
HpGP-KOR-027-KVD92-04345	1
HpGP-KOR-028-KVC05-04345	1
HpGP-KOR-029-KVD84-04430	1
HpGP-KOR-032-E5E58-03365	0
HpGP-KOR-033-E5E74-04535	0
HpGP-KOR-034-E5E69-04305	0
HpGP-KOR-035-E5E59-04400	0
HpGP-KOR-036-E5E60-04530	0
HpGP-KOR-037-E5E73-04445	0
HpGP-KOR-051-KVC96-04510	1
HpGP-KOR-052-KVD40-04310	1
HpGP-KOR-053-KVF01-04320	1
HpGP-KOR-101-E5E66-04445	0
HpGP-KOR-109-E5E70-02470	0
HpGP-KOR-110-E5E68-01910	0
HpGP-KOR-111-KVE77-04370	1
HpGP-KOR-112-KVD90-04430	1
HpGP-KOR-114-KVE38-04365	1
HpGP-KOR-115-KVC28-04345	1
HpGP-KOR-116-KVE00-04600	1
HpGP-KOR-117-KVK41-04355	1
HpGP-KOR-118-KVL36-04545	1
HpGP-KOR-119-KVM41-04480	1
HpGP-LAT-001-E5K41-04215	0
HpGP-LAT-003-E5K42-04895	0
HpGP-LAT-004-E5K43-04335	0
HpGP-LAT-005-E5K44-04615	0
HpGP-LAT-006-E5K45-04240	0
HpGP-LAT-007-E5K64-04260	0
HpGP-LAT-010-E5K48-03190	0
HpGP-LAT-022-E5K63-04755	1
HpGP-LAT-023-E5K66-06040	1
HpGP-LAT-024-E5K61-06075	1
HpGP-LAT-025-E5K55-02200	1
HpGP-LAT-026-E5K56-04335	1
HpGP-LAT-027-E5K57-04125	1
HpGP-LAT-028-E5K58-06100	1
HpGP-LAT-030-E5K59-01550	1
HpGP-LAT-031-KVM96-04400	1
HpGP-LAT-032-KVK83-04390	1
HpGP-LAT-034-KVM33-05965	1
HpGP-LAT-035-KVK79-06000	1
HpGP-LAT-036-KVL30-04440	1
HpGP-LIT-003-E5K85-04355	0
HpGP-LIT-004-E5K83-04280	0
HpGP-LIT-006-Duplicated-1-E5K71-04365	0
HpGP-LIT-007-E5K72-04560	0
HpGP-LIT-008-E5K73-05650	0
HpGP-LIT-010-E5K82-04260	0
HpGP-LIT-013-E5K75-02510	0
HpGP-LIT-030-E5K81-04335	1
HpGP-LIT-031-KVM43-04445	1
HpGP-LIT-032-KVL69-04265	1
HpGP-LIT-035-E5K79-04215	1
HpGP-MAL-002-E5K99-04140	0
HpGP-MAL-003-E5L04-04340	0
HpGP-MAL-004-E5K87-06280	0
HpGP-MAL-005-E5K88-04445	0
HpGP-MAL-006-E5K89-02000	0
HpGP-MAL-008-E5K91-04325	0
HpGP-MAL-012-E5K92-02420	0
HpGP-MEX-002-E5L07-01600	0
HpGP-MEX-003-E5L08-06230	0
HpGP-MEX-004-E5L18-01545	0
HpGP-MEX-006-E5L09-04280	0
HpGP-MEX-007-E5L22-04070	0
HpGP-MEX-010-E5L12-04395	0
HpGP-MEX-012-Duplicated-1-E5L19-01555	0
HpGP-MEX-023-E5L13-04395	1
HpGP-MEX-024-E5L14-04540	1
HpGP-MEX-028-E5L25-04285	1
HpGP-MEX-032-E5L15-04465	1
HpGP-MEX-035-E5L16-01550	1
HpGP-MEX-040-E5L21-06035	1
HpGP-MEX-041-E5L17-04355	1
HpGP-MEX-043-E5L23-01535	1
HpGP-MEX-045-Duplicated-1-KVK19-01610	1
HpGP-MEX-046-KVK01-04290	1
HpGP-MMR-001-KVL43-04240	0
HpGP-MMR-002-KVK50-03140	0
HpGP-MMR-003-KVM25-04375	0
HpGP-MMR-004-KVK32-04095	0
HpGP-MMR-005-KVL68-04245	0
HpGP-MMR-006-KVM99-04220	0
HpGP-MMR-007-KVL83-04215	0
HpGP-MMR-008-KVL84-04235	0
